Cryptos:
Type Wallet, Crypto Type, Address
Advance Funding,Ethereum,0xdcb96609a6ebd0dd83e874ed72d74a1a5452e5d0
Collection,Bitcoin,33C677c836QmJD1ui9ysRvySn6nsKqq147
Collection,Bitcoin,3HsqxyV1nVDUjsJ95vFieQUjSMeGcekUW6
Collection,Ethereum,0x04725AFf694EE1233e522Da3E19887787cE219Fc
Collection,Ethereum,0xa37797F4EFba53597d032698707A205AA186136c
Collection,Ethereum,0x888ba5B8A9c9b8a0A0017A09A882cB32aD54a8C0
Collection,Ethereum,0x65B3c9ee2b2cB73981403CCc75647c163f4b78A2
Collection,Ethereum,0xA85242b181989d93F1963E273D4573e8F3529054
Collection,Bitcoin,bc1q2q6ds6efh5hcz32zedlyh8pmrj59nk9w3lt347

Domains
totallysoftware[.]tech
totally-app[.]tech
cexsapp[.]bond
gipfelmarketing[.]com
greenlanemarketing[.]bond
greenlanemarketing[.]cc
nptn-app[.]com
nptn[.]app
nptnappp[.]com
oneumbrella[.]app
speednetapp[.]com
tecocraft-app[.]cc
tecocraft-app[.]com
speednetsoftwares[.]bond
cexsapp[.]cyou
cexsapp[.]shop
evamobicc-vip[.]com
evamobi-pro[.]com
evamobicc[.]com
evamobi-xzy[.]com
evamobi-dond[.]com
evamobi-vip[.]com
devlightxio[.]com/
wyertlsdjcalwmf[.]com/
masjiorvklmawl[.]com/
mcasiohgoc[.]com/
diksmfndctqa[.]com/
devlightwmaw[.]com/
wejaskzl[.]com/
evamobilscc[.]com/
badkvmisdo[.]com/
devlightmwju[.]com/
pdsfmwemkahdtop[.]com/
devlighthsow[.]com/
devlight-xyz[.]com/
commercecentriczi[.]com/
devlight-cyou[.]com/
devlight-pink[.]com/
devlight-io[.]com/
commercecentricpink[.]com/
devlight-shop[.]com/
devlight-cc[.]com/
appmonstacn[.]com/
evamobicc-vip[.]com/
appmonsta-org[.]com/
evamobi-pro[.]com/
thegamemarketer-shop[.]com/
evamobicc[.]com/
evamobi-xzy[.]com/
evamobi-dond[.]com/
thegamemarketer-bond[.]com/
thegamemarketer-net[.]com/
evamobi-vip[.]com/
evamobi-site[.]com/
devlight-vip[.]com/
devlightxio[.]com
wyertlsdjcalwmf[.]com
masjiorvklmawl[.]com
mcasiohgoc[.]com
diksmfndctqa[.]com
devlightwmaw[.]com
wejaskzl[.]com
evamobilscc[.]com
badkvmisdo[.]com
devlightmwju[.]com
devlighthsow[.]com
devlight-xyz[.]com
devlight-cyou[.]com
devlight-pink[.]com
devlight-io[.]com
devlight-shop[.]com
devlight-cc[.]com
